"name","smiles","properties","tags","created"
"TPA2-BDP-CO2 --AlTPPF3 -- C60Im","","See paper.;Not reported.;PKP paper:
https://doi.org/10.1039/C8NR06649C

The C60 acceptor is coordinated to the Al via an imidazole (Im). Th RP state is the lowest energy state in this triad (similar triads are investigated in this paper - with different BDP donors).","Triad","2025-10-17T14:29:11.476Z-5w8pc9"
"TPA2-BDP-CO2","CC1=C2C(C3=CC=C(C(O)=O)C=C3)=C4C(C)=CC(/C=C/C5=CC=C(N(C6=CC=CC=C6)C7=CC=CC=C7)C=C5)=[N]4B(F)(F)N2C(/C=C/C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)=C1","(In 0.1M TBAP, o-DCB) Sequential oxidation potentials (vs. Fc):
Eox =0.13V, 0.27V, 0.51V

Reduction potentials (vs. Fc):
Ered = -1.53V;Not reported.;PKP paper:
https://doi.org/10.1039/C8NR06649C

Other analogues: the TPA (triphenylamine) is replaced by Ph or simply BDP (boron-dipyrromethene - aka BODIPY) were also investigated in this paper.","Donor","2025-10-17T10:22:39.937Z-4q36gz"
"PTZ-py --AlTPP-- C60-Ph-CO2","","Discussed in paper.;One figure presented in the SI. A glitch in the middle of a C60 triplet spectrum. Direct quote:
""the absence of a
radical pair spectrum under these conditions could be due to
either fast spin relaxation, motional averaging of the spectrum,
and/or a short lifetime of the radical pair.""

:);PKP & AvdE:
https://doi.org/10.1021/jp110156w

They also investigate the TPTZ analogue of the triad. The usual fluorescence quenching, UV-Vis titrations, TA with 1020nm peak (C60 anion).","Triad","2025-10-17T09:48:05.368Z-oqcjg0"
"Phenothiazine (PTZ-py and TPTZ-py)","[R]C1=CC2C(C=C1)SC3=CC=CC=C3N2CC4=CC=NC=C4","Oxidation potential (vs. Fc) in 0.1MTBAP in o-DCB:
Eox = 0.38V (PTZ)
Eox = 0.32V (TPTZ);Not reported.;PKP & AvdE:
https://doi.org/10.1021/jp110156w

R = H is PTZ
R = SCH3 is TPTZ (thio-phenothiazine)","Donor","2025-10-17T09:46:59.808Z-s8bm3z"
"TTF-py -- AlTPP -- NDI-Ph-CO2","","Discussed by PKP & AvdE;Room temperature trESR of the SCRP reported by PKP & AvdE.;PKP & AvdE paper:
https://doi.org/10.1002/chem.201202995

The RP state proposed to be the lowest energy excited state. Long lived, apparently.","Triad","2025-10-17T09:32:39.606Z-9cya2i"
"NDI-Ph-CO2","CCC(CCCC)CN(C1=O)C(C2=CC=C3C4=C(C(N(C5=CC=C(C([O])=O)C=C5)C3=O)=O)C=CC1=C42)=O","Sequential reduction potentials (vs. SCE):
E = -0.55V, -1.00V

(in 0.1M TBAP/DCM);Not reported, but probably known;PKP & AvdE paper:
https://doi.org/10.1002/chem.201202995","Acceptor","2025-10-16T11:07:57.383Z-ufduiq"
"TTF-py -- AlTPP -- C60-Ph-CO2","","Discussed, not reported.;Clear RP trESR spectra reported at room temperature.
J = 1.2 mT;PKP & AvdE paper:
https://doi.org/10.1039/C5NR01675D

Charge recombination rate from nsTA of 64ns (consistent with trESR lifetime). Once more, this seems to have been estimated from the decay of the TA peak at 1020nm (C60 anion).

In the same paper, PKP & AvdE report similar observations (trESR, TA, etc.) for the family of triads:
TTFpy-Ph(n) -- AlTPP -- C60 -Ph(m)-CO2

With various combinations of poly-phenyl spacers Ph(n).

Good candidate for MFE studies.","Triad","2025-10-16T10:43:08.802Z-jfb3zm"
"TTF-py","C1(/SC=CS1)=C2SC=C(C3=CC=NC=C3)S\2","Sequential oxidation potentials (vs. SCE)
E = 0.48V, 0.83V

(in 0.1M TBAP/DCM);Not reported in this paper, but reported elsewhere for the radical cation in a RP state.;PKP & AvdE paper:
https://doi.org/10.1039/C5NR01675D

Oxidation potentials from:

https://doi.org/10.1002/chem.201202995","Donor","2025-10-16T10:36:53.768Z-js9wv6"
"Fc-CO-NH-Ph--AlTPP-C60-Ph-CO2","","Unclear.;No data.;PKP & AvdE paper:
https://doi.org/10.1021/jp911937d

PKP & AvdE present an energy level diagram, the lowest excited state isthe ferrocene triplet. The RP state is the next one above.

Significant fluorescence quenching (sub-ns lifetime) but no TA data.","Triad","2025-10-16T10:16:35.366Z-1s5x7i"
"AlTPP - C60-Ph-CO2","","In 0.1 M TBAP o-DCB
Oxidation Potential (vs. Fc):
Eox = +0.35V
Reduction Potential (vs. Fc):
Ered =  -1.16V, -1.54V, -1.72V, -2.09V;PKP & AvdE report a radical pair ESR spectrum observed as a glitch in the archetypal C60 triplet spectrum. No analysis is presented.
Data is measured at 200K in ortho-dichlorobenzene.

GM & SL failed to observe the RP in a similar diad.;PKP & AvdE paper:
https://doi.org/10.1021/jp911937d

TA data reported by PKP & AvdE shows a blip at 1020nm (C60 anion). Lifetime < 100ns.","Diad","2025-10-16T09:16:44.564Z-na4tx5"
